,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-0.3507788964966868,0.6527537326606381,2.1990083165844334,0.5995041582922167,0.42124336050332845,0.8213360183585752,2.686460100496017,2.6215811965811966,1.590422653894771
min,-0.4218572384391148,0.8558402413761144,2.2207737878945846,0.16029545141708945,1.0924079451853455e-06,1.0697301062653817,3.1299326034754857,1.9149122807017542,3.8233672937346563
max,-4.952321055658767,0.0,12.449368373350865,8.095926017099186,0.08734106261508397,0.004829397184573134,1.09128153314647,1.09128153314647,0.0074531755764204646
avg,-0.32498504411827167,0.5594581418339357,6.551167598068339,3.9252682520971613,0.14482656188403675,0.13502517756691734,1.2045002496688215,1.2045002496688215,0.18484320016421898
