,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-2.600360112466288,0.12617472666946442,10.271826885447146,4.635913442723573,0.10763307374348866,0.03744374342422564,1.1146424247164197,1.129747305316982,0.04689699146426805
min,-2.896287286737663,0.10006841039867354,3.490438682530675,0.3487311687640659,0.06466037802796634,0.4725556897978721,1.568068954930678,1.4032258064516128,0.5457911537024931
max,-3.83742704811904,8.973009017574705e-174,10.334345154485002,6.600378756672136,0.10713124310809485,0.010343958160756804,1.1131398779361754,1.1131398779361754,0.016283059337505217
avg,-0.6653762797124345,0.2537540522907302,9.725617077186403,6.169943005315647,0.10997650774375456,0.05998265541312896,1.1231528415528655,1.1231528415528655,0.08793188447780485
