,n-nodes,nd-edges,nu-edges,tau-metric,tau-ultrametric,tau-avg-metric,tau-avg-ultrametric,tau-max-metric,tau-max-ultrametric
0,5,8,4,1.0,1.0,1.0,1.0,1.0,1.0
1,30,75,33,0.84,0.7466666666666667,0.9393939393939394,0.8787878787878788,0.9393939393939394,0.8787878787878788
2,9,19,9,1.0,0.8421052631578947,1.0,0.8888888888888888,1.0,0.8888888888888888
3,24,64,26,0.8125,0.75,0.9615384615384616,0.8846153846153846,0.9230769230769231,0.8846153846153846
4,6,12,6,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
5,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
6,8,16,7,0.9375,0.875,1.0,1.0,1.0,1.0
7,7,14,6,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
