,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-41.52907848469485,5.329514225467603e-08,2.942807076101814,0.10646517194694013,0.35981232916486366,0.435058891991417,1.7728247938307478,1.5918367346938778,0.6524689509902103
min,-113.38120543058434,6.151295683411508e-22,2.509076439815293,0.06120113116544712,0.5615242581245192,0.46534618413443707,2.096576726611437,1.85,0.8771473714390186
max,-35.64386313178577,4.390050718897435e-08,2.9658491060771417,0.13223732107600641,0.40778424208494296,0.38252945497057067,1.7463681285760595,1.6103896103896105,0.5683193396658203
avg,-23.621965786650534,4.760409580155001e-05,3.147735066891896,0.13449638697030938,0.25126778418035256,0.44801841012165194,1.6798137345532271,1.547872340425532,0.5867404385674151
