,celegans-her
avg-metric-distrotion,2.1778130554853674
std-metric-distrotion,1.488375519695493
med-metric-distrotion,1.7408695652173913
avg-ultrametric-distrotion,3.6383709579828563
std-ultrametric-distrotion,2.6711838485608004
med-ultrametric-distrotion,3.08
