,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-177.97998741399493,1.677086324057665e-34,2.1228680307127967,0.026298766726222354,0.5088865518531329,0.8378480408493639,2.9709225133788415,2.2358490566037736,2.1307922557385224
max,-3.7530268013273758,0.056548584516594454,4.124357318391652,0.5438807983536488,0.20955828804434076,0.2817893203536064,1.4096802268575983,1.3126491646778042,0.3288575702982923
avg,-0.30584080091957117,0.8060926626988911,5.179229073107771,0.8714295013893586,3.65551498653488e-07,0.31069261702288176,1.2967184665716065,1.1851015801354399,0.2823834300149552
