,n-nodes,nd-edges,nu-edges,tau-metric,tau-ultrametric,tau-avg-metric,tau-avg-ultrametric,tau-max-metric,tau-max-ultrametric
0,78,1180,179,0.5830508474576271,0.19322033898305085,0.8715083798882681,0.4301675977653631,0.8156424581005587,0.45251396648044695
1,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
2,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
3,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
