,cs-faculty
avg-metric-distrotion,2.2202344040987034
std-metric-distrotion,1.4373428666614874
med-metric-distrotion,1.74375
avg-ultrametric-distrotion,3.9927080128022285
std-ultrametric-distrotion,3.1608984713581263
med-ultrametric-distrotion,3.1304347826086962
