,n_nodes,n_edges,density,tau_metric,tau_ultrametric,ultra_per_metric
min,206,2741,0.12981292919725312,0.3349142648668369,0.11309740970448741,0.33769063180827885
harm,206,2741,0.12981292919725312,0.32834731849689897,0.09813936519518424,0.29888888888888887
max,78,179,0.05960705960705961,0.8156424581005587,0.45251396648044695,0.5547945205479452
avg,78,179,0.05960705960705961,0.8715083798882681,0.4301675977653631,0.4935897435897436
mlscc,78,358,0.05960705960705961,0.7821229050279329,0.5223463687150838,0.6678571428571428
