,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-10.756945475914112,0.003047558478349139,3.24070716167724,0.2323505088695815,0.29592127225737047,0.3900527521162907,1.6329723316516551,1.4285714285714284,0.5108854286173226
min,-198.99145115251517,1.937230593454859e-37,2.4658218786653245,0.05944692707041328,0.6534341911830743,0.360338548068573,2.090616562873146,2.1,0.7105975324100877
max,-22.147744346120074,2.2056131104936268e-05,2.977282802274922,0.2452517475879763,0.486772595791115,0.2613399721526185,1.708882500443727,1.5806451612903223,0.43962714448344126
avg,-14.173594641513368,0.0008562138378904056,3.1916393292415703,0.24657868925233176,0.381445494206921,0.3263515481833982,1.6370751800896568,1.5170454545454546,0.45449106496285135
