,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-7732.364781425088,0,1.4595167907651803,0.003431810917751487,2.1386308575604254,0.9839259078700363,14.045493949881315,8.636363636363637,21.690077423804336
max,-6588.8164583914495,0,1.5118377757821566,0.0041677615839896985,1.9216057820602446,0.8767156303714972,10.423693474495453,7.2,13.403409491669917
avg,-6939.96390375711,0,1.5466662985746353,0.004450181059728539,1.8046473008943735,0.7960173731041968,8.462671589450395,6.364563883518528,8.469066899499067
