,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-26.27300324164105,2.562506247197906e-06,2.4545546581279947,0.07192309893283462,0.18692554879328646,0.7700497561787347,2.285989916006823,1.841126461211477,1.398204061701317
min,-231.0698836265763,1.68158276157379e-39,1.9156240487407765,0.02103355026488294,0.7519667538881896,0.9324947504639998,3.931605455137346,2.7142857142857144,3.604124187088506
max,-10.07576657551816,0.00957797381826724,2.79929964753192,0.12852140339513715,0.03495660786394936,0.6803917950352727,1.917257997585174,1.7177716137909913,0.9569970660304471
avg,-13.480076608266454,0.0016572050512775444,2.862477498910228,0.14160154211030596,0.22762294696568275,0.5556201232095364,1.8451238262353864,1.6130976295701085,0.7787739175191557
