,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-620.1594803634617,6.061596009650665e-117,1.5793207565678917,0.011623670581619814,1.5818140465920465,1.050286161895425,8.704331361719717,5.346728307254623,9.501952737516508
max,-51.383464702857445,2.4390741394780543e-10,2.065562783388635,0.05416560035546593,0.6820338190215525,0.7713633976397817,3.086875257203114,2.511904761904762,2.125165633997061
avg,-46.05992034331783,4.100893602948503e-09,2.175165942800288,0.05897988798475656,0.5654708459016382,0.74272741060112,2.758355616628599,2.2252747252747254,1.7536583152294178
