,celegans-male
avg-metric-distrotion,2.679056669037608
std-metric-distrotion,1.977359626463165
med-metric-distrotion,2.0560125342734037
avg-ultrametric-distrotion,4.774497666147451
std-ultrametric-distrotion,4.3141165614366495
med-ultrametric-distrotion,3.3
