,n-nodes,n-edges,density,tau-edges-metric,tau-edges-ultrametric
min,1075,11973,0.02074054826555801,0.13822767894429133,0.09003591414014867
max,995,6932,0.014017774991658493,0.22706289671090593,0.13387189844200809
avg,995,6932,0.014017774991658493,0.24336410848240045,0.13372763993075593
harm,1075,11973,0.02074054826555801,0.1440741668754698,0.08978535037166958
