,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-139.85644331345412,1.753808210069819e-23,3.4031599111894675,0.062090729722361834,0.2266237924125713,0.39905123305298396,1.5825310140915643,1.46403157566161,0.5039014215571588
min,-52.75263176589367,9.979425661775418e-11,2.9764356896062534,0.08228009434690407,0.2689556372827745,0.48955780322844855,1.770095258534936,1.5419234329996219,0.7091417709837093
max,-89.07759252667701,7.684236637926053e-16,3.2325664215385483,0.0878391510080583,0.3326097596388549,0.3619566610003257,1.6316316366106567,1.5212892861324527,0.5031537206037666
avg,-131.395868929507,1.8490788852396175e-24,3.1348775609039365,0.0774401483664298,0.3862132668992055,0.3409486221856386,1.6626827834321123,1.572364043346463,0.4899069434208441
