,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-320.93603044955876,4.415438257663293e-37,1.3668687463000266,0.0038261189344959683,2.7963180010973565e-07,3.4627589742402227,233.38290687121543,8.976257450917831,2814.055280234638
min,7214359.009833062,0.0,1.1994873046875005,0.0019638915466308354,inf,,inf,210.32803982394046,
max,-139.64187350150632,1.1941007986810882e-12,1.362460983374085,0.004951763676371,4.947225517014346e-08,3.5358766697394564,300.08404294574626,8.473107749412751,3499.5766065125813
avg,-155.03648386069034,1.95992978747525e-15,1.3615733107199957,0.004992563755737489,1.1005482622009923e-07,3.5322535905500994,259.01620144186006,8.819138084255513,2673.090168474201
