,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-2492.301908816428,0.0,2.3677997021978667,0.021514157826184103,0.728820836328419,0.2634871466732571,2.1466704761412063,2.119160188323433,0.5408554187149699
min,-949.9299641058537,1.7600473682324214e-176,2.3660237405727953,0.03480950814100224,0.7297683731818627,0.263765777617736,2.1485770893445575,2.13380749368136,0.5391373092934354
max,-1386.850660525493,8.957838822816302e-284,2.4163237182069555,0.03025807808262164,0.7041900615653331,0.24982503450371463,2.0875642429643775,2.0426992796714956,0.5082376912873624
avg,-1563.128250153193,1.2901144592022797e-285,2.3727723576322597,0.029476013690290376,0.7276421942243652,0.23444997038105692,2.1269960354250084,2.1131425334841505,0.47809306241482663
