,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-11.210233041136672,0.2295100290132256,3.28231097313938,0.07805338837224685,1.774679004690601e-06,0.5689252930241153,1.6773894782565386,1.4073779491602245,0.8452641071872817
min,-28.406551842385536,9.870160462916312e-05,3.0984256987694905,0.09114978770461646,0.04999196106430438,0.5738779586985414,1.7327643562212085,1.5185294615341334,0.8265279671233927
max,0.7376781425825296,0.9125024189057399,3.283118239044034,0.12049837194724837,2.694067203712445e-07,0.577424743079316,1.691205839114213,1.4017153982404924,0.9428099411092312
avg,-2.744345289681081,0.7112386913870942,3.192185991274939,0.11667828727109353,1.724949412699397e-06,0.595537457978067,1.7349029147319177,1.4429000243360606,1.0907475693998576
