,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,0.5250090314520977,0.4916063179782193,5.347741964742197,1.6432920004838867,6.380941134995487e-07,0.32551224871291934,1.2960057452108402,1.1218918698130869,0.37148902016580027
min,0.10961120125724377,0.8354546913884697,5.143298479319542,2.071649239659771,7.227968361258751e-07,0.3262735851954504,1.3058239295714915,1.184238912988126,0.35907155305503835
max,0.07528299230143926,0.8655891839137713,9.407133680539115,4.853860893572428,2.336693596363555e-06,0.16052413650437902,1.1330104154019134,1.0552701513464062,0.15447971194080715
avg,-0.19807476739691576,0.6889665065301984,5.054321574675614,2.866838278564048,0.1429823229280798,0.2306415262892142,1.297445857163456,1.297445857163456,0.30216787278365365
