,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-2.340777604524729,0.128610352932777,3.7871922327894794,0.7730280392228793,0.3003048786594942,0.256214359716604,1.4646474300944707,1.4018752160387138,0.3341136697792818
min,-0.16823846472285603,0.7802175430369815,7.68545767121232,2.7293266652409485,3.409159526449512e-06,0.1913522325552644,1.1698837733866645,1.1314564987469247,0.15983184221568839
max,-3.365867747770004,0.07948897357166197,4.219155315907843,1.21672634251196,0.30719635686811575,0.13154819023844347,1.3753850960977612,1.3531215772179626,0.18906579096020407
avg,-1.860612404816203,0.2507721276732324,4.462569197978072,1.22420308010898,0.2605641737857416,0.18206588936680493,1.3515205747506385,1.3379923469136425,0.2268835358322778
