,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-1.1334132731765048,0.39587955255298124,4.111098008788811,0.9838155731787184,0.20989002771342338,0.2834066926488446,1.410082904077499,1.3817597977243994,0.3137158502727316
min,-0.5067987157516793,0.3451519156675461,5.122909829692024,1.5583134410441086,0.08946335588394634,0.2587538185527656,1.2953006469778876,1.25,0.2736992380791351
max,-0.2548171908117857,0.6740795893587513,8.262163229832781,2.964765723648759,1.4843065556286589e-05,0.1734200607556048,1.154146813978732,1.1186974789915967,0.13625765529610248
avg,-0.516655866993845,0.4310736122208315,4.057628991031668,1.3674132547841806,0.19750826837488694,0.3002270777451371,1.421343994868891,1.2766905330151153,0.36175136813659686
