,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,0.0,1.0,,,,,,,
min,-188.07339911694356,3.1070638820890815e-14,1.4422853473971273,0.005603938832806457,1.0689875657248323e-06,2.885841365952609,1273.5156545301136,6.480876972065903,69194.92784369571
max,0.0,1.0,,,,,,,
avg,0.0,1.0,,,,,,,
