,n_nodes,n_edges,density,tau_metric,tau_ultrametric,ultra_per_metric
min,10578,18529,0.00033121950969251893,0.6638242754600896,0.591451238598953,0.8909756097560976
harm,10578,18529,0.00033121950969251893,0.6638242754600896,0.591451238598953,0.8909756097560976
max,1,0,0,0.0,0.0,0.0
avg,1,0,0,0.0,0.0,0.0
mlscc,0,0,0,0.0,0.0,0.0
