,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-6969.08984346249,0,2.466107418682852,0.009967755547158572,0.6520422978489194,0.363349476321788,2.094145119787584,1.9552539456053681,0.7408409719179193
min,-6837.248625234454,0,2.2413532295800858,0.009036690918423022,0.7804579887292186,0.40238119802022976,2.405255437255458,2.2098387096774195,0.9538417852932646
max,-3440.7658219109885,0,2.597697104183211,0.015410275983588169,0.5978060918552132,0.33454362099693913,1.962197299511292,1.8553948832035596,0.6335838287327799
avg,-3676.0759830533034,0,2.5642775026574824,0.014588865946178798,0.6104838447569381,0.3418934427746776,1.99305997714559,1.8712214303268613,0.6598203733778948
