,bike-sharing
avg-metric-distrotion,2.0641451556224766
std-metric-distrotion,5.746482376572031
med-metric-distrotion,1.2679001386170317
avg-ultrametric-distrotion,3.6000844208300475
std-ultrametric-distrotion,10.216762948718653
med-ultrametric-distrotion,2.637179487179487
