,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,3596.8129721675423,1.434401612564953e-161,3.982765946714192,0.023985248043136294,5.022501366487381e-09,0.5565328846971975,1.7676087850756481,1.2101389322510145,5.271895760761061
max,1042.5871833765177,3.5119506758725377e-96,2.926704253723406,0.023746692507179035,1.4094746921058333e-08,0.7998876084397211,2.4172789492512767,1.3641025641025641,6.000951846249397
avg,1107.9302911671564,4.862177525279884e-95,3.4126409786403737,0.03158166761326709,6.151563183455395e-08,0.6592236393396956,1.9380652597592831,1.265642516444574,3.553009345179325
