,n_nodes,n_edges,density,tau_metric,tau_ultrametric,ultra_per_metric
min,725,35063,0.13359878072013717,0.5589367709551379,0.020762627270912357,0.03714664761710378
harm,725,35063,0.13359878072013717,0.3849071670992214,0.02064854690129196,0.05364552459988145
max,723,18055,0.06917545009061199,0.6353918582110218,0.04004430905566325,0.06302301255230126
avg,723,18055,0.06917545009061199,0.6767654389365827,0.03998892273608419,0.05908830509861691
mlscc,723,36110,0.06917545009061199,0.6396842979783993,0.040570479091664356,0.06342265898956664
