,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-629.3080727881696,9.291056451935836e-127,1.5273331519021762,0.01169831262428281,1.8032254921393398,1.0317011784234325,10.693240303559241,6.711111111111111,13.367130057857294
max,-8.997203301928346,0.006509059315689034,2.3583205620289225,0.1408512808783075,0.4166714808319799,0.6953380262729045,2.383733646178118,1.7833333333333334,1.3625520802004432
avg,-11.714123031334818,0.0014566515745187312,2.5279541511259174,0.15055379607970354,0.4283811407141022,0.5762673670141518,2.125144920566829,1.7407407407407407,1.0503858971436535
