,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-288.3101378226559,8.306482654188812e-50,1.7842464899200345,0.018942930888866748,1.0401856127408944,0.9401609011860568,4.897247670202763,3.3479930969214493,4.617809631104714
max,-6.069389462707841,0.017411342045337126,3.121993885628135,0.3488536458654256,0.38047662260425386,0.35157570974770663,1.6702025635247775,1.4827586206896552,0.5078620191104236
avg,-2.1676086973390394,0.16445973358654575,3.528054365037408,0.4615574674434626,0.14540770279931764,0.4222979036726471,1.5474619455123062,1.4091275628606101,0.4673958464019459
