,n_nodes,n_edges,density,tau_metric,tau_ultrametric,ultra_per_metric
min,145,2266,0.21704980842911878,0.2436010591350397,0.10326566637246248,0.42391304347826086
harm,145,2266,0.21704980842911878,0.2471315092674316,0.09664607237422772,0.39107142857142857
max,56,158,0.1025974025974026,0.7658227848101266,0.41139240506329117,0.5371900826446282
avg,56,158,0.1025974025974026,0.810126582278481,0.34810126582278483,0.42968750000000006
mlscc,56,316,0.1025974025974026,0.7563291139240507,0.44936708860759494,0.5941422594142259
