,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-29.11379078883315,6.823343252558964e-06,2.7702197160628237,0.09010181119814045,0.2260694674944175,0.5924976671065859,1.9186802298221506,1.6527036388085246,0.8993456352752055
min,-276.48895841496693,3.089044670134038e-43,1.8949954608871118,0.018155896399726063,0.7316238265560709,0.9835906381916463,4.210849419987746,2.7873820168902137,4.796299727779773
max,-12.485542384801853,0.0024016761430798394,3.3813623760286475,0.1770052714195337,0.1390007919054853,0.4569101983033765,1.6008695287558887,1.416201117318436,0.5822163112525875
avg,-8.609112791325428,0.005671116476110057,3.989036830128635,0.23269620163150478,0.02605659412248821,0.40720457503371976,1.4454422496606887,1.2988737581899954,0.4119053169302958
