,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-941.3577229957252,2.0376972695813764e-177,1.5750049788472138,0.010833734336792014,1.6699954716768266,0.9082258606626336,8.425977821307448,5.3,10.231693408029711
max,-87.34362667446896,5.606018980981454e-18,2.136365280444628,0.056676748823604246,0.7805872054650946,0.5738658224830742,2.7316611658813454,2.3605040142729705,1.4658309913549965
avg,-73.44556021460753,2.9258287430319087e-15,2.3141843182777166,0.06538311357385447,0.639118606593257,0.5408887998071346,2.3752439859129635,2.074806571004113,1.162494701344271
