,n_nodes,n_edges,density,tau_metric,tau_ultrametric,ultra_per_metric
min,113,2944,0.46523388116308473,0.17459239130434784,0.043138586956521736,0.24708171206225676
harm,113,2944,0.46523388116308473,0.18648097826086957,0.04076086956521739,0.2185792349726776
max,84,488,0.1399885255306942,0.6290983606557377,0.1762295081967213,0.28013029315960913
avg,84,488,0.1399885255306942,0.6618852459016393,0.1721311475409836,0.26006191950464397
mlscc,84,976,0.1399885255306942,0.6045081967213115,0.22438524590163936,0.3711864406779661
