,mobility-manizales
avg-metric-distrotion,7.382533330580546
std-metric-distrotion,6.4066607030629985
med-metric-distrotion,5.044764455351957
avg-ultrametric-distrotion,1.5196327721286316
std-ultrametric-distrotion,0.39041882955255497
med-ultrametric-distrotion,1.4449410090766284
