,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-500.1208837013164,7.497624140450118e-109,1.4730930853913997,0.013516945296897134,2.069314823845248,0.986780637690637,12.745760338674305,7.899686520376176,13.479277612813489
max,-338.51607696890403,1.0695842677122372e-69,1.66404220987847,0.019322830194444984,1.4154427412628277,0.8534611394635379,6.1869782712034835,4.226190476190476,5.87376246409373
avg,-336.3887675219863,7.67110640411422e-69,1.6722353377968115,0.01956124036953981,1.3968216768940964,0.8458495575756675,5.987434588012344,4.109100425507167,5.28733691980748
