,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-168.55131129727948,1.3700665298902708e-29,2.10781945415708,0.02608982247818806,0.4923131871044104,0.8651566272251907,3.0446845868627315,2.239422084623323,2.3838544139283417
min,-256.317443303133,1.0979911062775286e-49,1.6386386128215986,0.01901518798025346,1.4047961474395108,0.9987984238047449,7.035628817841462,4.40532702193007,7.081186339370095
max,-73.54106529389261,2.7842839210638817e-13,2.154385303742325,0.03828854363518227,0.3904279141033452,0.8824852276051534,2.9292555943181577,2.115437482818084,2.3701873203277213
avg,-80.68473538929854,2.0128690873195422e-14,2.135131973104811,0.03726253255335281,0.4399806716552559,0.8707330744863195,2.9612603370154083,2.206906487266246,2.2788942342158838
