,n-nodes,nd-edges,nu-edges,tau-metric,tau-ultrametric,tau-avg-metric,tau-avg-ultrametric,tau-max-metric,tau-max-ultrametric
85,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
86,3,6,3,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,1.0
87,10,70,32,0.4,0.32857142857142857,0.59375,0.28125,0.59375,0.375
88,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
89,13,156,78,1.0,0.22435897435897437,1.0,0.15384615384615385,1.0,0.15384615384615385
90,6,30,15,0.6333333333333333,0.4,0.7333333333333333,0.3333333333333333,1.0,0.3333333333333333
91,3,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
92,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
93,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
94,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
95,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
96,4,9,3,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0
97,3,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
98,3,5,2,1.0,0.8,1.0,1.0,1.0,1.0
99,5,20,10,0.4,0.4,0.4,0.4,0.4,0.4
100,4,8,3,0.75,0.75,1.0,1.0,1.0,1.0
101,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
102,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
103,8,14,7,1.0,1.0,1.0,1.0,1.0,1.0
104,5,12,6,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
105,6,14,5,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
106,5,8,4,1.0,1.0,1.0,1.0,1.0,1.0
107,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
108,5,10,4,0.9,0.9,1.0,1.0,1.0,1.0
109,13,146,68,0.17123287671232876,0.1643835616438356,0.19117647058823528,0.17647058823529413,0.19117647058823528,0.17647058823529413
110,5,9,4,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0
111,4,12,6,1.0,1.0,1.0,0.5,1.0,1.0
112,6,30,15,1.0,0.8666666666666667,1.0,0.3333333333333333,1.0,0.7333333333333333
113,5,8,4,1.0,1.0,1.0,1.0,1.0,1.0
114,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
115,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
116,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
117,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
118,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
119,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
120,5,20,10,0.45,0.4,0.5,0.4,0.5,0.4
121,4,8,3,0.75,0.75,1.0,1.0,1.0,1.0
122,6,30,15,1.0,0.5333333333333333,1.0,0.3333333333333333,1.0,0.4666666666666667
123,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
124,17,44,22,1.0,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9090909090909091
125,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
126,6,14,5,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
127,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
128,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
129,12,24,11,1.0,1.0,1.0,1.0,1.0,1.0
130,5,10,4,0.9,0.9,1.0,1.0,1.0,1.0
131,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
132,3,6,3,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
133,10,25,9,1.0,0.88,1.0,1.0,1.0,1.0
134,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
135,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
136,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
137,3,6,3,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
138,4,12,6,0.5,0.5,0.5,0.5,0.5,0.5
139,10,74,30,1.0,1.0,1.0,0.3,1.0,1.0
140,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
141,3,6,3,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
142,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
143,7,15,6,0.8,0.8,1.0,1.0,1.0,1.0
144,8,56,28,1.0,1.0,1.0,0.6428571428571429,1.0,1.0
145,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
146,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
147,3,5,2,1.0,0.8,1.0,1.0,1.0,1.0
148,6,20,7,0.55,0.55,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
149,8,16,7,1.0,0.875,1.0,1.0,1.0,1.0
150,8,20,8,0.95,0.95,0.875,0.875,0.875,0.875
151,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
152,8,16,7,0.9375,0.9375,1.0,1.0,1.0,1.0
153,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
154,7,42,21,1.0,0.7619047619047619,1.0,0.5714285714285714,1.0,0.5714285714285714
155,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
156,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
157,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
158,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
159,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
160,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
161,8,27,8,0.9629629629629629,0.9259259259259259,1.0,0.875,1.0,0.875
162,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
163,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
164,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
165,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
166,3,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
167,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
168,9,72,36,1.0,0.2222222222222222,1.0,0.2222222222222222,1.0,0.2222222222222222
169,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
170,8,56,28,1.0,0.4642857142857143,1.0,0.4642857142857143,1.0,0.4642857142857143
171,3,6,3,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
172,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
173,4,8,3,0.75,0.75,1.0,1.0,1.0,1.0
174,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
175,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
176,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
177,3,6,3,1.0,1.0,1.0,1.0,1.0,1.0
178,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
179,3,5,2,1.0,0.8,1.0,1.0,1.0,1.0
180,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
181,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
182,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
183,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
184,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
185,4,11,5,0.9090909090909091,0.7272727272727273,0.8,0.6,0.8,0.6
186,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
187,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
188,7,12,6,1.0,1.0,1.0,1.0,1.0,1.0
189,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
190,5,11,5,0.7272727272727273,0.7272727272727273,0.8,0.8,0.8,0.8
191,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
192,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
193,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
194,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
195,6,13,5,0.9230769230769231,0.7692307692307693,1.0,1.0,1.0,1.0
196,3,6,3,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
197,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
198,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
199,5,12,5,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8,0.8
200,6,30,15,0.8666666666666667,0.6,1.0,0.3333333333333333,1.0,0.5333333333333333
201,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
202,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
203,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
204,4,10,4,1.0,1.0,1.0,0.75,1.0,1.0
205,3,6,3,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666
206,5,17,7,0.5882352941176471,0.5294117647058824,0.8571428571428571,0.5714285714285714,1.0,0.5714285714285714
207,11,20,10,1.0,1.0,1.0,1.0,1.0,1.0
208,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
209,3,6,3,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
210,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
211,4,8,4,0.75,0.75,0.75,0.75,0.75,0.75
212,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
213,5,13,5,0.9230769230769231,0.9230769230769231,1.0,0.8,1.0,1.0
214,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
