,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-7918.559234745012,0,1.5186096218015246,0.0017028874784993943,0.9399199627979303,1.9204841472748484,22.967477759578397,5.527425299980093,75.6837049813821
min,-454357.8421609812,0,1.2588743024631144,0.00020475141699434867,3.625870580506792,2.1989132587009435,336.89971639718334,38.87658348948733,1110.7291246003206
max,-6619.040682125458,0,1.49255065821379,0.0022643913205449237,1.5196304852835438,1.6297853852988968,19.68887133063294,6.558791301835858,43.27490846875877
avg,-6391.249183493269,0,1.5242076986634112,0.002403990244538809,1.396305161488108,1.559285054830262,15.710144519763187,5.768359602531522,31.06213559218852
