,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-608165.8810363035,0,1.2265174939826295,0.0001786696736424324,4.294619971777943,2.1523119504552004,629.8979865729988,69.0510870624939,2215.097664857831
max,-11318.42037891343,0,1.4043529192459874,0.0017877726686252803,2.2040418651691036,1.598462391108434,37.35386275777247,10.350127797990606,103.66204983154834
avg,-11729.792148612674,0,1.4230760004103176,0.0018687642088773078,2.1241949447453035,1.502352071519316,29.298343400912906,9.322819762090893,72.60798259939033
