,R,p,alpha,gamma,mu,sigma,mean,median,stdev
min,-23987.80162066596,0.0,1.5890529003089977,0.0022023477828660327,1.6308493184925272,0.884961669525433,7.611750071665674,5.5,7.245059088462085
max,-432.537717625395,1.158970369362984e-68,3.5764850670306774,0.029634353490793647,0.06520194262266775,0.4554363844769901,1.5418089590414965,1.3880108991825613,0.514919606869178
avg,-300.9684431169402,2.0055991656482346e-47,4.027792615441459,0.037987148783624775,3.899430962610699e-06,0.4143688600643485,1.4392965669933313,1.3213530655391121,0.41149296378398525
