,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-3237.3826374086043,0,2.805237041594454,0.01624494857568449,0.5125563753356513,0.32877013848575765,1.8170349340893939,1.7266187050359711,0.5503166704851749
min,-2000.7349175743557,0,2.1124133183680014,0.014587851050106886,0.8661440605355839,0.4620099549886296,2.723770518391953,2.1666666666666665,1.4563558412548032
max,-2077.1250960813786,0,2.715363913278508,0.02007544104377441,0.5472901665299459,0.33165616097135836,1.8733124245832375,1.8175182481751824,0.5703917312148307
avg,-2610.0913995991814,0,2.7911834189687754,0.019172674161637607,0.5282020584827005,0.3094420281115121,1.8183062324198733,1.7607152773287589,0.5201184148325201
