,n_nodes,n_edges,density,tau_metric,tau_ultrametric,ultra_per_metric
min,4245,85084,0.009445497225210344,0.15920737153871467,0.09086314700766301,0.5707219843496235
harm,4245,85084,0.009445497225210344,0.16042969300926144,0.08662028113393823,0.5399267399267399
max,1263,16349,0.02051438416067196,0.5376475625420515,0.0910759067832895,0.16939704209328785
avg,1263,16349,0.02051438416067196,0.6114135421126674,0.07755826044406386,0.12685074029611845
mlscc,1263,32698,0.02051438416067196,0.507798642118784,0.1301302831977491,0.256263550951578
