,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-121357.07578083852,0,1.345776916022566,0.000554669825234571,2.7531696697721477,1.566508033604213,52.859112643272724,17.230376037086003,134.1727622299342
min,-122173.70584707437,0,1.2481975439127426,0.0005106383278113112,3.996524202081161,1.6307716615429149,279.90204104865614,53.94238738218688,2102.3646290033844
max,-81282.18789729355,0,1.3130460507925048,0.0007057338133985462,3.12996629803055,1.4811010885559628,66.39784304530636,24.362222896536547,156.81957182217903
avg,-86051.97627745265,0,1.318363211015606,0.0007175075706645233,3.089526633159422,1.4090059118723035,57.04041655297426,23.598079138770913,122.58952899790606
