,R,p,alpha,gamma,mu,sigma,mean,median,stdev
mlscc,-526.2175783620405,1.5289027060006964e-87,3.283671109361742,0.02667177678655433,0.1587058848275518,0.46875091292850757,1.6339900886269647,1.4666390842761388,0.5925494079098191
min,-175.00373382571868,7.982535262436599e-30,3.187509167695286,0.057054672185526636,0.3095267850451033,0.3944537011825996,1.65545910924386,1.5319449310394035,0.5507032530414375
max,-175.562195920014,1.4417087323256054e-28,3.156355168730636,0.04519955564247712,0.19319916064441045,0.48192036550149936,1.6860350600936587,1.5018348669856065,0.6531808169397206
avg,-200.2075967216996,1.0140496587759792e-29,3.4679476970709557,0.05310177961148199,0.21888925793881664,0.38974194582004806,1.5633697316823272,1.4408956237045891,0.5042817078448163
